Event,Date,Status,Tickets Sold,Tickets Available
"WEEKEND RETREAT: Wild at Heart, Metta Meditation ","Feb 3, 2017 8:00 PM",Past,32,1368
WEEKEND RETREAT: Themeless Meditation ,"Feb 10, 2017 8:00 PM",Past,21,1379
DAY-LONG: #GeneralStrike #F17 Meditation with Bhante Suddhaso,"Feb 17, 2017 10:00 AM",Past,4,196
Morning Meditation with Bhante Suddhaso,"Feb 18, 2017 9:00 AM",Past,1,199
INWOOD: Meditate like a Buddha with Bhante Suddhaso,"Feb 18, 2017 4:00 PM",Past,8,192
Sutta Studies with Bhante Suddhāso,"Feb 19, 2017 1:00 PM",Past,12,88
WEEK-LONG RETREAT: Mahasi Meditation,"Feb 19, 2017 6:00 PM",Past,25,1375
WEEKEND RETREAT: Chan Meditation,"Mar 3, 2017 8:00 PM",Past,25,1375
BUSHWICK: Meditation & Dhamma Talk with Khenmo Drolma,"Mar 7, 2017 7:00 PM",Past,2,198
EAST VILLAGE: Meditation & Dhamma discussion with Khenmo Drolma,"Mar 9, 2017 7:00 PM",Past,7,193
WEEKEND RETREAT: Emotional Intelligence with Khenmo Drolma,"Mar 10, 2017 8:00 PM",Past,47,1353
DAY-LONG: Metta Meditation with Bhante Nanda,"Mar 18, 2017 9:00 AM",Past,17,183
INWOOD: Meditate like a Buddha with Bhante Suddhaso,"Mar 18, 2017 4:00 PM",Past,33,167
"DAY-LONG: Tea, Yoga & Meditation","Mar 19, 2017 9:00 AM",Past,104,96
WEEKEND RETREAT: Getting Grounded Meditation Retreat ,"Mar 24, 2017 8:00 PM",Past,23,1377
WEEKEND RETREAT: Mindfulness Study Retreat - Mahāsatipaṭṭhāna Sutta,"Mar 31, 2017 8:00 PM",Past,47,1353
BUSHWICK: Tuesday Meditation & Dhamma Talk with Bhante Suddhāso,Repeating Event,Past,0,100
BUSHWICK: Developing a Soft Mind with Ven. Canda,"Apr 4, 2017 7:00 PM",Past,21,179
Thursday Meditation in the East Village,Repeating Event,Past,0,200
Build it Green: VOLUNTEER Weekend part 1,"Apr 8, 2017 10:00 AM",Past,28,372
Tea and Meditation: An afternoon with Ven. Tahn Pamutto,"Apr 9, 2017 3:30 PM",Past,6,94
BUSHWICK: Meditation with Ven. Tahn Pamutto,"Apr 11, 2017 7:00 PM",Past,0,200
EAST VILLAGE: Meditation & Dhamma discussion with Ven. Chang-Zhai,"Apr 13, 2017 7:00 PM",Past,4,196
Dharma for Kids with Ayya Yeshe (AGE: 5-10),"Apr 15, 2017 10:00 AM",Past,5,1195
Sacred Activism and the Bodhisattva Ideal with Ayya Yeshe,"Apr 15, 2017 2:00 PM",Past,21,1179
INWOOD: Meditate like a Buddha with Bhante Suddhaso,"Apr 15, 2017 4:00 PM",Past,10,190
"'Many Teachings, One Essence' with Ayya Yeshe and Bhante Suddhaso","Apr 16, 2017 10:00 AM",Past,22,1178
Buddhist Wisdom for Crazy Times with Ayya Yeshe,"Apr 17, 2017 8:00 PM",Past,5,195
BUSHWICK: Sacred Feminine with Ayya Yeshe,"Apr 18, 2017 7:00 PM",Past,2,198
WEEKEND RETREAT: The One Who is Not Busy ,"Apr 21, 2017 8:00 PM",Past,27,1373
MID-WEEK RETREAT: Mindfulness Meditation,"Apr 25, 2017 10:00 AM",Past,12,1108
Sutta Studies with Bhante Suddhaso,"Apr 27, 2017 7:00 PM",Past,14,186
Build it Green: VOLUNTEER Weekend part 2,"Apr 29, 2017 10:00 AM",Past,14,386
UPSTATE NY: Day-Long Hiking & Meditation Retreat with Bhante Suddhāso,"Apr 30, 2017 11:00 AM",Past,62,141
BUSHWICK: Meditation with Ajahn Piak,"May 2, 2017 7:00 PM",Past,18,182
Sutta Studies with Bhante Suddhaso,"May 4, 2017 7:00 PM",Past,7,193
2-DAY or 10-DAY Jhāna Retreat ,"May 5, 2017 8:00 PM",Past,48,1366
BUSHWICK: The Buddhist Swastika with Rev. Nakagaki,"May 9, 2017 7:00 PM",Past,9,191
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Nanda,"May 11, 2017 7:00 PM",Past,5,195
BUSHWICK: Meditation with Ven. Tahn Pamutto,"May 16, 2017 7:00 PM",Past,3,197
EAST VILLAGE: Won Buddhism and Meditation,"May 18, 2017 7:00 PM",Past,11,189
Sutta Studies with Bhante Suddhaso,"May 18, 2017 7:00 PM",Past,3,197
STREET RETREAT: A Day-Long Retreat with Bhante Suddhāso around NYC,"May 20, 2017 11:00 AM",Past,6,194
INWOOD: Meditate like a Buddha with Bhante Suddhaso,"May 20, 2017 4:00 PM",Past,22,178
DAY-LONG RETREAT: From Separation to Seamless Reality with Amma Thanasanti,"May 21, 2017 9:00 AM",Past,20,1180
Meditation with Ven. Rev. Hokyu Malik Walker,"May 23, 2017 7:00 PM",Past,1,199
EAST VILLAGE: Meditation & Dhamma discussion with Amma Thanasanti,"May 25, 2017 7:00 PM",Past,26,174
3-DAY RETREAT: Sutta Study & Meditation - Mahā-Assapura Sutta,"May 26, 2017 8:00 PM",Past,26,134
Sutta Studies with Bhante Suddhaso,"Jun 1, 2017 7:00 PM",Past,12,188
"Tea and Meditation, a weekend retreat","Jun 2, 2017 8:00 PM",Past,27,133
Goodbye Bhati! Last Meditation Class with Bhante Suddhāso,"Jun 6, 2017 7:00 PM",Past,2,98
Sutta Studies with Bhante Suddhaso,"Jun 8, 2017 7:00 PM",Past,9,191
A Slice of Peace: Bread making & Meditation,"Jun 10, 2017 1:00 PM",Past,22,38
Reiki and Meditation,"Jun 11, 2017 10:00 AM",Past,16,104
Vegan Potluck at the Summer House,"Jun 11, 2017 12:30 PM",Past,5,195
Sunday Meditation,"Jun 11, 2017 3:00 PM",Past,20,180
Meditation with Ajahn Brahm ,"Jun 12, 2017 8:00 PM",Past,124,76
Entering the Jhānas with Ajahn Brahm ,"Jun 13, 2017 7:00 PM",Past,219,81
Wednesday Yoga at the Rockaway Summer House,Repeating Event,Past,0,2000
Sutta Studies with Bhante Suddhaso,"Jun 15, 2017 7:00 PM",Past,3,197
WEEKEND RETREAT: Contemplation of Death with Jayasara Bhikkhu ,"Jun 16, 2017 8:00 PM",Past,27,1373
Tea and Meditation in the Park,"Jun 21, 2017 5:00 PM",Past,64,136
EAST VILLAGE: Overcoming Anxiety with Bhante Ānanda,"Jun 22, 2017 7:00 PM",Past,67,133
DAY-LONG: The Path of the Bodhisattva with Rev. Kaizen Bob Gunn,"Jun 24, 2017 10:00 AM",Past,19,181
INWOOD: Meditate like a Buddha with Bhante Suddhaso,"Jun 24, 2017 4:00 PM",Past,20,180
DAY-LONG: Meditation and Chi-Gong,"Jun 25, 2017 10:00 AM",Past,13,1187
Sutta Studies with Bhante Suddhaso,"Jun 29, 2017 7:00 PM",Past,11,189
INDEPENDENCE DAY WEEKEND: Sutta Study & Meditation Retreat,"Jun 30, 2017 8:00 PM",Past,24,136
EAST VILLAGE: Avoiding Attachment with Sayadaw U Ottamasara ,"Jul 6, 2017 7:00 PM",Past,40,160
WEEKEND RETREAT: Meditation At the Farm,"Jul 7, 2017 7:00 PM",Past,19,73
DAY-LONG: Non-attachment (anupāda) with Sayadaw U Ottamasara,"Jul 8, 2017 10:00 AM",Past,39,1161
Planting Seeds with Good Deeds,"Jul 9, 2017 3:00 PM",Past,9,91
KARMA DINNER - An Italian Meal by Donation ,"Jul 12, 2017 6:00 PM",Past,11,69
Sutta Studies with Bhante Suddhaso,"Jul 13, 2017 7:00 PM",Past,7,193
INWOOD: Meditate like a Buddha with David Listen,"Jul 15, 2017 10:00 AM",Past,22,178
"Reiki and Meditation, a Day-Long Retreat","Jul 16, 2017 10:00 AM",Past,71,23
Meditation By the Beach,"Jul 18, 2017 8:30 AM",Past,1,99
Volunteer Weeding & Meditation,"Jul 19, 2017 4:00 PM",Past,2,98
Meditation By the Beach,"Jul 20, 2017 8:30 AM",Past,8,92
Sutta Studies with Bhante Suddhaso,"Jul 20, 2017 7:00 PM",Past,7,193
Zero Waste Workshop,"Jul 22, 2017 10:00 AM",Past,12,88
"Yoga for Every Body, Workshop","Jul 22, 2017 12:00 PM",Past,6,94
Tie-Dye & Meditation,"Jul 22, 2017 3:30 PM",Past,26,4
Printing Prayer Flags with RAA Press,"Jul 23, 2017 10:00 AM",Past,28,2
KARMA DINNER - Vegan Soul Food by Donation ,"Jul 23, 2017 6:00 PM",Past,15,45
Spiritual Activism: Transforming the Mind to Transform the World,"Jul 27, 2017 7:00 PM",Past,148,152
WEEKEND RETREAT: Dispelling Delusion,"Jul 28, 2017 8:00 PM",Past,67,93
Meditation By the Beach - Tuesday & Thursday,Repeating Event,Past,0,100
Introduction to Buddhist Meditation,"Aug 1, 2017 7:00 PM",Past,64,36
Sutta Studies with Bhante Suddhaso,"Aug 3, 2017 7:00 PM",Past,9,191
"WEEKEND RETREAT: Surfing, Yoga and Meditation  ","Aug 4, 2017 8:00 PM",Past,83,117
Workshop: Infused Water,"Aug 6, 2017 6:00 PM",Past,19,41
Boundless Benevolence,"Aug 8, 2017 7:00 PM",Past,17,83
Sutta Studies with Bhante Suddhaso,"Aug 10, 2017 7:00 PM",Past,2,198
"Nurturing the Heart, A Weekend Retreat with Ven. Thich Phap Hai","Aug 11, 2017 8:00 PM",Past,70,100
The Three Universal Characteristics,"Aug 15, 2017 7:00 PM",Past,11,89
KARMA DINNER - Vegan Food by Donation ,"Aug 16, 2017 6:00 PM",Past,22,38
Sutta Studies with Bhante Suddhaso,"Aug 17, 2017 7:00 PM",Past,7,193
The Illumined Heart: Sufi and Buddhist Meditation Retreat,"Aug 18, 2017 8:00 PM",Past,54,106
Elements of Experience,"Aug 22, 2017 7:00 PM",Past,11,89
Sutta Studies with Bhante Suddhaso,"Aug 24, 2017 7:00 PM",Past,10,190
"Holistic Wellness, A Weekend Retreat ","Aug 25, 2017 8:00 PM",Past,54,116
INWOOD: Meditate like a Buddha with David Listen,"Aug 26, 2017 4:00 PM",Past,20,180
Overcoming the Five Obstacles,"Aug 29, 2017 7:00 PM",Past,6,94
Sutta Studies with Bhante Suddhaso,"Aug 31, 2017 7:00 PM",Past,7,193
The Seven Factors of Enlightenment,"Sep 5, 2017 7:00 PM",Past,9,91
The Way of Tea Ceremony,"Sep 5, 2017 7:00 PM",Past,9,191
"Three paths, one mind with Ven. Pannavati","Sep 7, 2017 7:00 PM",Past,17,183
WEEKEND RETREAT: The Wisdom of Conscience with Ven. Pannavati,"Sep 8, 2017 8:00 PM",Past,55,205
Candlelight Meditation - 9/11 Memorial,"Sep 11, 2017 7:00 PM",Past,8,1992
Urban Forest: Meditation in the North Woods,"Sep 12, 2017 12:00 PM",Past,35,175
The Four Domains of Mindfulness,"Sep 12, 2017 7:00 PM",Past,6,94
KARMA DINNER: Jamaican Vegan Food by Donation ,"Sep 13, 2017 6:00 PM",Past,21,39
Emptiness with Rev. Monshin Naamon ,"Sep 14, 2017 7:00 PM",Past,22,178
"One Path, a weekend retreat discovering Tendai Buddhism","Sep 15, 2017 8:00 PM",Past,32,138
Causality and Conditionality,"Sep 19, 2017 7:00 PM",Past,1,99
Sutta Studies with Bhante Suddhaso,"Sep 21, 2017 7:00 PM",Past,5,195
Poetic Practice: A Chan Meditation Retreat,"Sep 22, 2017 8:00 PM",Past,41,149
Day-Long Hiking & Meditation Retreat with Bhante Suddhāso,"Sep 24, 2017 11:00 AM",Past,65,145
Scope of the Multiverse,"Sep 26, 2017 7:00 PM",Past,16,84
Sutta Studies with Bhante Suddhaso,"Sep 28, 2017 7:00 PM",Past,4,196
Introduction to Meditation Retreat,"Sep 29, 2017 8:00 PM",Past,45,115
Pali Class with Bhante Suddhaso,"Oct 1, 2017 7:00 PM",Past,9,191
Meditate for Puerto Rico,"Oct 3, 2017 7:00 PM",Past,1,99
The Way of Tea Ceremony,"Oct 3, 2017 7:00 PM",Past,10,190
Sutta Studies with Bhante Suddhaso,"Oct 5, 2017 7:00 PM",Past,8,192
"Listening to the Inner Voice, Weekend Retreat","Oct 6, 2017 8:00 PM",Past,65,101
Kathina Celebration,"Oct 9, 2017 10:00 AM",Past,20,80
Karma and Rebirth,"Oct 10, 2017 7:00 PM",Past,6,94
Wise Communication with Bhante Sukhacitto,"Oct 12, 2017 7:00 PM",Past,22,178
WEEKEND RETREAT: Knowing the Mind with Ajahn Punnadhammo,"Oct 13, 2017 8:00 PM",Past,48,112
"Warm Heart, Soft Mind with Ajahn Punnadhammo","Oct 16, 2017 8:00 PM",Past,4,96
Paths to Power with Ajahn Punnadhammo,"Oct 17, 2017 7:00 PM",Past,7,93
The Law of Karma with Ajahn Punnadhammo,"Oct 19, 2017 7:00 PM",Past,20,180
Samatha (Serenity Meditation) with Bhante Suddhaso,"Oct 21, 2017 10:00 AM",Past,36,164
Vipassanā (Insight Meditation) with Bhante Suddhaso,"Oct 22, 2017 10:00 AM",Past,37,163
"Six Paths to Joy, Mid-Week Retreat","Oct 23, 2017 6:00 PM",Past,14,146
Existence and Non-Existence,"Oct 24, 2017 7:00 PM",Past,9,91
Consciousness with Rev. Ryoei Tyler,"Oct 26, 2017 7:00 PM",Past,9,191
"Three Thousand Realities in a Single Moment, Weekend Retreat","Oct 27, 2017 8:00 PM",Past,20,140
Day-Long Hiking & Meditation Retreat with Bhante Suddhāso,"Oct 29, 2017 11:00 AM",Past,81,129
Contemplation of Death,"Oct 31, 2017 7:00 PM",Past,17,83
Sutta Studies with Bhante Suddhaso,"Nov 2, 2017 7:00 PM",Past,8,192
WEEKEND RETREAT: Attachment and Non-Attachment,"Nov 3, 2017 8:00 PM",Past,42,213
The Way of Tea Ceremony,"Nov 7, 2017 7:00 PM",Past,10,190
Peer-Led Meditation,Repeating Event,Past,0,100
Everyday Dharma with Jayasara Bhikkhu,"Nov 9, 2017 7:00 PM",Past,9,191
WEEKEND RETREAT: The Noble Eightfold Path with Bhikkhu Jayasāra,"Nov 10, 2017 8:00 PM",Past,34,215
Impermanence with Rev. Doyeon,"Nov 16, 2017 7:00 PM",Past,17,183
"Ocean of Wisdom, 10-Day Study and Meditation Retreat","Nov 17, 2017 8:00 PM",Past,20,140
CANCELLED: A Comfortable Life with Bhante Nanda,"Nov 23, 2017 7:00 PM",Past,10,190
Karma and Rebirth ,"Nov 28, 2017 7:00 PM",Past,3,97
Peace and Happiness with Bhante Gñāṇaloka,"Nov 30, 2017 7:00 PM",Past,23,177
The Dawn of Wisdom with Bhante Suddhaso,"Dec 2, 2017 8:30 AM",Past,5,195
Vegan Cooking Workshop,"Dec 2, 2017 2:30 PM",Past,62,38
Sangha Vegan Dinner,"Dec 2, 2017 6:00 PM",Past,12,48
The Causal Network with Bhante Suddhaso,"Dec 3, 2017 9:00 AM",Past,17,183
Finding Refuge with Tenzin Namsel,"Dec 5, 2017 7:00 PM",Past,5,95
The Way of Tea Ceremony,"Dec 5, 2017 7:00 PM",Past,30,170
The Gift of Giving with Tahn Pamutto,"Dec 7, 2017 7:00 PM",Past,8,192
"WEEKEND RETREAT: Soft Heart, Gentle Mind with Ven. Pamutto","Dec 8, 2017 8:00 PM",Past,27,222
"Right Action, Speech, and Livelihood","Dec 12, 2017 7:00 PM",Past,10,90
Propensities of Heart with Ven. Pannavati,"Dec 14, 2017 7:00 PM",Past,19,181
WEEKEND RETREAT: Dying to Live with Ven. Pannavati,"Dec 15, 2017 8:00 PM",Past,36,214
Right Effort and Right Mindfulness,"Dec 19, 2017 7:00 PM",Past,9,91
Peace and Joy with Bhante Suddhaso,"Dec 20, 2017 7:30 PM",Past,1,199
Sutta Study with Bhante Suddhaso,"Dec 21, 2017 7:00 PM",Past,0,200
WEEKLONG RETREAT: Greeting the New Year with Bhante Suddhaso,"Dec 26, 2017 6:00 PM",Past,43,206
A Comfortable Life with Bhante Nanda,"Dec 28, 2017 7:00 PM",Past,8,192
Right View and Right Intention,"Jan 2, 2018 7:00 PM",Past,21,79
The Way of Tea Ceremony,"Jan 2, 2018 7:00 PM",Past,19,181
Meditate like a Buddha with Bhante Suddhaso,"Jan 3, 2018 7:30 PM",Past,18,182
Sutta Study with Bhante Suddhaso,"Jan 4, 2018 7:00 PM",Past,6,194
WEEKEND RETREAT: Internal Balance with Bhante Suddhaso,"Jan 5, 2018 8:00 PM",Past,33,217
Meditate like a Buddha with Bhante Suddhaso,"Jan 10, 2018 7:30 PM",Past,12,188
Sutta Study with Bhante Suddhaso,"Jan 11, 2018 7:00 PM",Past,6,194
