Event,Date,Status,Tickets Sold,Tickets Available
LOWER EAST SIDE: 7PM Ayya Yeshe - The Sacred Feminine,"May 8, 2016 7:00 PM",Past,8,92
"WILLIAMSBURG, BK: Metta Meditation with Bhante Suddhāso","May 13, 2016 7:00 PM",Past,5,95
ROCKAWAY BEACH: Yoga & Meditation DAY-LONG RETREAT - Move & Meditate with Bhante Suddhaso & Lena Roca,"May 14, 2016 9:00 AM",Past,41,159
LOWER EAST SIDE: 7PM Bhante Suddhāso - Karma: Between Worlds,"May 15, 2016 7:00 PM",Past,3,97
"GREENPOINT, BK: METTA DAY-LONG RETREAT with Melissa McKay and Bhante Suddhaso","May 21, 2016 1:00 PM",Past,16,84
ROCKAWAY BEACH: 3PM Khenmo Drolma - Living Compassion,"May 21, 2016 3:00 PM",Past,3,197
LOWER EAST SIDE: 7PM Bhante Suddhāso - Reflections on the nature of Nibbāna,"May 22, 2016 7:00 PM",Past,5,95
EAST VILLAGE: 7PM Ayya Cittananda - Meditation & Discussion,"May 25, 2016 7:00 PM",Past,4,96
"WILLIAMSBURG, BK: Metta Meditation with Bhante Suddhāso","May 27, 2016 7:00 PM",Past,6,94
WEST VILLAGE: 7PM Bhante Suddhāso - Developing Focus,"May 28, 2016 7:00 PM",Past,12,88
ROCKAWAY BEACH: 8.30am Every Sunday Meditation & Yoga by the beach,Repeating Event,Past,0,100
LOWER EAST SIDE: 7PM Bhante Suddhāso - Buddhist Cosmology,"May 29, 2016 7:00 PM",Past,3,97
"LOWER EAST SIDE, NY: 7PM Bhante Suddhaso - Finding ease in the midst of urgency","Jun 5, 2016 7:00 PM",Past,2,98
"GOWANUS, BK: NEON-Lit Meditation with Bhante Suddhāso","Jun 6, 2016 7:00 PM",Past,5,95
STREET RETREAT: 9AM Day-Long Retreat with Bhante Suddhāso around NYC,"Jun 12, 2016 9:00 AM",Past,5,195
BOWERY: 7PM Ayya Sudhamma at Dharma Punx,"Jun 16, 2016 7:00 PM",Past,7,93
DAY-LONG RETREAT in a mansion in Staten Island with Bhante Suddhāso,"Jun 18, 2016 9:00 AM",Past,48,52
ROCKAWAY: 3PM Ayya Sudhamma Meditation & Dhamma discussion,"Jun 18, 2016 3:00 PM",Past,1,199
LOWER EAST SIDE: 7PM Ayya Sudhamma - Meditation & Dhamma Talk,"Jun 19, 2016 7:00 PM",Past,3,97
PIONEER WORKS: Introduction to Insight Meditation with Bhante Suddhāso,"Jun 21, 2016 7:30 PM",Past,11,189
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Jun 23, 2016 7:00 PM",Past,1,199
Yoga & Meditation Half-Day Retreat with Bhante Suddhaso & Helen Timlin Kilgallen,"Jun 26, 2016 8:00 AM",Past,30,70
GREEN-WOOD CEMETERY: Guided Meditation with Bhante Suddhāso,"Jun 26, 2016 7:00 PM",Past,24,76
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Jun 28, 2016 7:00 PM",Past,9,91
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Rahula,"Jun 30, 2016 7:00 PM",Past,4,196
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Jul 2, 2016 8:30 AM",Past,4,96
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Jul 2, 2016 3:00 PM",Past,3,97
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Jul 3, 2016 8:30 AM",Past,5,95
"BUSHWICK: Yoga, Meditation & Dhamma Talk with Bhante Rahula","Jul 5, 2016 7:00 PM",Past,2,98
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Jul 7, 2016 7:00 PM",Past,14,186
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Jul 9, 2016 8:30 AM",Past,1,99
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Jul 9, 2016 3:00 PM",Past,0,100
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Jul 10, 2016 8:30 AM",Past,2,98
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Jul 12, 2016 7:00 PM",Past,8,92
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Jul 14, 2016 7:00 PM",Past,4,196
Wake Up Call at Riis Park: A Day-Party with Rockaway Summer,"Jul 16, 2016 8:30 AM",Past,30,410
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Jul 16, 2016 8:30 AM",Past,4,96
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Jul 16, 2016 3:00 PM",Past,0,100
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Jul 17, 2016 8:30 AM",Past,2,98
BUSHWICK: Meditation & Dhamma Talk with Bhante Suddhāso,"Jul 19, 2016 7:00 PM",Past,4,96
EAST VILLAGE: Meditation & Dhamma discussion with Bhante Suddhāso,"Jul 21, 2016 7:00 PM",Past,6,194
RIIS PARK: 8.30am Every Saturday Meditation & Yoga by the beach,"Jul 23, 2016 8:30 AM",Past,3,97
"ROCKAWAY BEACH, NYC: Every Saturday 3pm meditation with Bhante Suddhāso","Jul 23, 2016 3:00 PM",Past,0,100
ROCKAWAY BEACH: 8.30am Every Sunday Meditation by the beach,"Jul 24, 2016 8:30 AM",Past,4,96
STREET RETREAT: 11AM Day-Long Retreat with Bhante Suddhāso around NYC,"Jul 24, 2016 11:00 AM",Past,11,189
BUSHWICK: Meditation with Khenmo Drolma. Calm Abiding; Befriending Oneself and Becoming a Friend to All,"Jul 26, 2016 7:00 PM",Past,11,89
PIONEER WORKS: Tonglen Meditation with Khenmo Drolma,"Jul 27, 2016 7:30 PM",Past,12,188
EAST VILLAGE: Meditation & talk on Strong Emotions with Khenmo Drolma,"Jul 28, 2016 7:00 PM",Past,2,198
"WILLIAMSBURG, BK: Meditation with Khenmo Drolma. Expanding our Capacity for Kindness and Compassion","Jul 29, 2016 7:00 PM",Past,1,99
